gnm	2	2243
pos	2244	2386
gnm	2387	2387
pos	2388	2450
gnm	2451	4830
pos	4831	5592
gnm	5593	5705
pos	5706	5706
gnm	5707	6981
neg	6982	7104
gnm	7105	7695
pos	7696	9323
gnm	9324	9779
neg	9780	10521
gnm	10522	10564
neg	10565	10567
gnm	10568	10570
neg	10571	10573
gnm	10574	10574
neg	10575	10581
gnm	10582	10582
neg	10583	10583
gnm	10584	10584
neg	10585	10633
gnm	10634	10634
neg	10635	10639
gnm	10640	10640
neg	10641	11445
gnm	11446	11468
neg	11469	11479
gnm	11480	13667
pos	13668	15327
gnm	15328	16225
neg	16226	16426
gnm	16427	19475
pos	19476	21027
gnm	21028	21983
neg	21984	22090
gnm	22091	22091
neg	22092	22092
gnm	22093	22139
neg	22140	23081
gnm	23082	24881
pos	24882	24882
gnm	24883	24907
pos	24908	24922
gnm	24923	24923
pos	24924	24926
gnm	24927	24927
pos	24928	25404
gnm	25405	25419
pos	25420	25492
gnm	25493	25639
pos	25640	26014
gnm	26015	26025
pos	26026	26036
gnm	26037	26079
neg	26080	26106
gnm	26107	26245
pos	26246	26611
gnm	26612	27265
pos	27266	27511
gnm	27512	27642
neg	27643	28083
gnm	28084	28104
neg	28105	28107
gnm	28108	28384
neg	28385	28687
gnm	28688	30520
pos	30521	32232
gnm	32233	32540
neg	32541	33792
gnm	33793	35945
pos	35946	37438
gnm	37439	37443
pos	37444	37448
gnm	37449	37463
neg	37464	37482
gnm	37483	37493
pos	37494	37494
gnm	37495	37509
pos	37510	37510
gnm	37511	37511
pos	37512	37512
gnm	37513	37515
pos	37516	37516
gnm	37517	37521
pos	37522	37526
gnm	37527	37527
pos	37528	37528
gnm	37529	37531
pos	37532	38622
gnm	38623	39838
pos	39839	39907
gnm	39908	42017
pos	42018	43704
gnm	43705	44402
pos	44403	44471
gnm	44472	44588
neg	44589	44661
gnm	44662	44794
neg	44795	45383
gnm	45384	47317
neg	47318	47414
gnm	47415	47417
neg	47418	47456
gnm	47457	48192
pos	48193	48369
gnm	48370	48376
pos	48377	48447
gnm	48448	48516
pos	48517	48611
gnm	48612	48614
pos	48615	49867
gnm	49868	49878
pos	49879	49891
gnm	49892	49970
pos	49971	49971
gnm	49972	49972
pos	49973	49973
gnm	49974	49974
pos	49975	50043
gnm	50044	50046
pos	50047	50065
gnm	50066	50074
pos	50075	50157
gnm	50158	51235
pos	51236	51292
gnm	51293	54475
neg	54476	55247
gnm	55248	57000
