gnm	6	7836
neg	7837	7837
gnm	7838	7854
neg	7855	7895
gnm	7896	8709
pos	8710	8806
gnm	8807	8873
neg	8874	8914
gnm	8915	9146
neg	9147	9177
gnm	9178	10518
pos	10519	10529
gnm	10530	10532
pos	10533	10533
gnm	10534	10534
pos	10535	10537
gnm	10538	10542
pos	10543	10547
gnm	10548	10562
pos	10563	10565
gnm	10566	10566
pos	10567	10573
gnm	10574	10578
pos	10579	10581
gnm	10582	10582
pos	10583	10583
gnm	10584	10584
pos	10585	10653
gnm	10654	22408
neg	22409	22505
gnm	22506	26280
pos	26281	26375
gnm	26376	26402
pos	26403	26533
gnm	26534	26544
pos	26545	26569
gnm	26570	32707
pos	32708	32768
gnm	32769	37924
neg	37925	38117
gnm	38118	38126
neg	38127	38135
gnm	38136	38136
neg	38137	38137
gnm	38138	38138
neg	38139	38139
gnm	38140	38142
neg	38143	38145
gnm	38146	49024
neg	49025	49085
gnm	49086	57000
